ticker,company_name,industry,aliases
AAPL,Apple Inc.,Technology & Internet,Apple Inc|Apple Incorporated|Apple
MSFT,Microsoft Corporation,Technology & Internet,Microsoft Corporation|Microsoft
GOOGL,Alphabet Inc.,Technology & Internet,Alphabet Inc|Alphabet|Google|Google LLC
META,"Meta Platforms, Inc.",Technology & Internet,Meta Platforms|Meta|Facebook
AMZN,"Amazon.com, Inc.",Technology & Internet,Amazon.com|Amazon|Amazon Web Services|AWS
XOM,Exxon Mobil Corporation,Oil & Natural Gas,Exxon Mobil|Exxon Mobil Corporation|Exxon
CVX,Chevron Corporation,Oil & Natural Gas,Chevron Corporation|Chevron
COP,ConocoPhillips,Oil & Natural Gas,ConocoPhillips|Conoco Phillips
OXY,Occidental Petroleum,Oil & Natural Gas,Occidental Petroleum|Occidental
BP,BP plc,Oil & Natural Gas,BP plc|BP
NVDA,NVIDIA Corporation,Semiconductors,NVIDIA Corporation|NVIDIA|Nvidia
AMD,Advanced Micro Devices,Semiconductors,Advanced Micro Devices|AMD
INTC,Intel Corporation,Semiconductors,Intel Corporation|Intel
AVGO,Broadcom Inc.,Semiconductors,Broadcom|Broadcom Inc
QCOM,Qualcomm Incorporated,Semiconductors,Qualcomm|Qualcomm Inc
DOW,Dow Inc.,Chemicals,Dow Inc|Dow Incorporated
DD,DuPont de Nemours,Chemicals,DuPont|DuPont de Nemours
LIN,Linde plc,Chemicals,Linde plc|Linde
APD,Air Products and Chemicals,Chemicals,Air Products and Chemicals|Air Products
ECL,Ecolab Inc.,Chemicals,Ecolab|Ecolab Inc
JPM,JPMorgan Chase,Financials (Banks),JPMorgan Chase|JPMorgan
BAC,Bank of America,Financials (Banks),Bank of America|BofA
C,Citigroup Inc.,Financials (Banks),Citigroup|Citigroup Inc
MS,Morgan Stanley,Financials (Banks),Morgan Stanley
GS,Goldman Sachs,Financials (Banks),Goldman Sachs
CAT,Caterpillar Inc.,Construction & Infrastructure,Caterpillar Inc|Caterpillar
VMC,Vulcan Materials,Construction & Infrastructure,Vulcan Materials
MLM,Martin Marietta,Construction & Infrastructure,Martin Marietta
J,Jacobs Solutions,Construction & Infrastructure,Jacobs Solutions|Jacobs Engineering
PWR,Quanta Services,Construction & Infrastructure,Quanta Services
LMT,Lockheed Martin,Defense & Aerospace,Lockheed Martin|Lockheed
NOC,Northrop Grumman,Defense & Aerospace,Northrop Grumman|Northrop
RTX,Raytheon Technologies,Defense & Aerospace,Raytheon Technologies|Raytheon
GD,General Dynamics,Defense & Aerospace,General Dynamics
BA,Boeing Company,Defense & Aerospace,Boeing|Boeing Company
GM,General Motors,Automobiles & Auto Components,General Motors|General Motors Company
TSLA,Tesla Inc.,Automobiles & Auto Components,Tesla Inc|Tesla|Tesla Motors
CMI,Cummins Inc.,Automobiles & Auto Components,Cummins Inc|Cummins
BWA,BorgWarner,Automobiles & Auto Components,BorgWarner|BorgWarner Inc
APTV,Aptiv PLC,Automobiles & Auto Components,Aptiv|Aptiv PLC
FOXA,Fox Corporation,News & Publishing,Fox Corporation|Fox News
NYT,The New York Times Company,News & Publishing,New York Times|The New York Times|NYT
GCI,"Gannett Co., Inc.",News & Publishing,Gannett
SBGI,Sinclair Broadcast Group,News & Publishing,Sinclair Broadcast Group|Sinclair
IHRT,"iHeartMedia, Inc.",News & Publishing,iHeartMedia|iHeartRadio
DAL,Delta Air Lines,Airlines & Travel,Delta Air Lines
AAL,American Airlines Group,Airlines & Travel,American Airlines
UAL,United Airlines Holdings,Airlines & Travel,United Airlines
LUV,Southwest Airlines,Airlines & Travel,Southwest Airlines
MAR,Marriott International,Airlines & Travel,Marriott International|Marriott
