new_id,id,text,date,event_minute,ticker,company_name,industry,event_time_et,in_trading_hours,adjusted_event_time_et,adjusted_event_time_utc,event_1h_pre_et,event_1h_end_et,event_5d_pre_et,event_5d_end_et,event_1h_pre,event_1h_end,event_5d_pre,event_5d_end
52,911287725847908352,Thank you to Doug Parker and American Airlines for all of the help you have given to the U.S. with Hurricane flights. Fantastic job!,2017-09-22 17:54:59,2017-09-22 17:54:00+00:00,AAL,American Airlines Group,Airlines & Travel,2017-09-22 13:54:00-04:00,0,2017-09-22 13:54:00-04:00,2017-09-22 17:54:00+00:00,2017-09-22 12:54:00-04:00,2017-09-22 14:54:00-04:00,2017-09-15 09:30:00-04:00,2017-09-29 09:30:00-04:00,2017-09-22 16:54:00+00:00,2017-09-22 18:54:00+00:00,2017-09-15 13:30:00+00:00,2017-09-29 13:30:00+00:00
149,1184147319480041473,"Join me in Dallas, Texas this Thursday (October 17th) at the American Airlines Center! #KAG2020Tickets: https://t.co/DBmvgoQSTX https://t.co/cIuZfcj5EI",2019-10-15 16:41:36,2019-10-15 16:41:00+00:00,AAL,American Airlines Group,Airlines & Travel,2019-10-15 12:41:00-04:00,0,2019-10-15 12:41:00-04:00,2019-10-15 16:41:00+00:00,2019-10-15 11:41:00-04:00,2019-10-15 13:41:00-04:00,2019-10-08 09:30:00-04:00,2019-10-22 09:30:00-04:00,2019-10-15 15:41:00+00:00,2019-10-15 17:41:00+00:00,2019-10-08 13:30:00+00:00,2019-10-22 13:30:00+00:00
148,1184631273454817280,"THANK YOU you Dallas, Texas. See you tomorrow night at the American Airlines Center! #TRUMP2020 https://t.co/fbtzlbroQi",2019-10-17 00:44:39,2019-10-17 00:44:00+00:00,AAL,American Airlines Group,Airlines & Travel,2019-10-16 20:44:00-04:00,1,2019-10-17 09:30:00-04:00,2019-10-17 13:30:00+00:00,2019-10-17 08:30:00-04:00,2019-10-17 10:30:00-04:00,2019-10-10 09:30:00-04:00,2019-10-24 09:30:00-04:00,2019-10-17 12:30:00+00:00,2019-10-17 14:30:00+00:00,2019-10-10 13:30:00+00:00,2019-10-24 13:30:00+00:00
147,1184987864125321216,"Just arrived at the American Airlines Center in Dallas, Texas. Will be out shortly as we wait for more of you to get in! #TRUMP2020 https://t.co/TB2baAFoBK",2019-10-18 00:21:37,2019-10-18 00:21:00+00:00,AAL,American Airlines Group,Airlines & Travel,2019-10-17 20:21:00-04:00,1,2019-10-18 09:30:00-04:00,2019-10-18 13:30:00+00:00,2019-10-18 08:30:00-04:00,2019-10-18 10:30:00-04:00,2019-10-11 09:30:00-04:00,2019-10-25 09:30:00-04:00,2019-10-18 12:30:00+00:00,2019-10-18 14:30:00+00:00,2019-10-11 13:30:00+00:00,2019-10-25 13:30:00+00:00
24,700795170023825408,"I use both iPhone &amp, Samsung. If Apple doesn't give info to authorities on the terrorists I'll only be using Samsung until they give info.",2016-02-19 21:32:43,2016-02-19 21:32:00+00:00,AAPL,Apple Inc.,Technology & Internet,2016-02-19 16:32:00-05:00,1,2016-02-22 09:30:00-05:00,2016-02-22 14:30:00+00:00,2016-02-22 08:30:00-05:00,2016-02-22 10:30:00-05:00,2016-02-12 09:30:00-05:00,2016-02-29 09:30:00-05:00,2016-02-22 13:30:00+00:00,2016-02-22 15:30:00+00:00,2016-02-12 14:30:00+00:00,2016-02-29 14:30:00+00:00
137,953771038114045954,I promised that my policies would allow companies like Apple to bring massive amounts of money back to the United States. Great to see Apple follow through as a result of TAX CUTS. Huge win for American workers and the USA! https://t.co/OwXVUyLOb1,2018-01-17 23:28:30,2018-01-17 23:28:00+00:00,AAPL,Apple Inc.,Technology & Internet,2018-01-17 18:28:00-05:00,1,2018-01-18 09:30:00-05:00,2018-01-18 14:30:00+00:00,2018-01-18 08:30:00-05:00,2018-01-18 10:30:00-05:00,2018-01-10 09:30:00-05:00,2018-01-25 09:30:00-05:00,2018-01-18 13:30:00+00:00,2018-01-18 15:30:00+00:00,2018-01-10 14:30:00+00:00,2018-01-25 14:30:00+00:00
121,989144989690187776,"Looking forward to my meeting with Tim Cook of Apple. We will be talking about many things, including how the U.S. has been treated unfairly for many years, by many countries, on trade.",2018-04-25 14:11:57,2018-04-25 14:11:00+00:00,AAPL,Apple Inc.,Technology & Internet,2018-04-25 10:11:00-04:00,0,2018-04-25 10:11:00-04:00,2018-04-25 14:11:00+00:00,2018-04-25 09:11:00-04:00,2018-04-25 11:11:00-04:00,2018-04-18 09:30:00-04:00,2018-05-02 09:30:00-04:00,2018-04-25 13:11:00+00:00,2018-04-25 15:11:00+00:00,2018-04-18 13:30:00+00:00,2018-05-02 13:30:00+00:00
103,1028050296151400453,"Had a very good phone call with @EmmanuelMacron, President of France. Discussed various subjects, in particular Security and Trade. Many other calls and conversations today. Looking forward to dinner tonight with Tim Cook of Apple. He is investing big dollars in U.S.A.",2018-08-10 22:47:45,2018-08-10 22:47:00+00:00,AAPL,Apple Inc.,Technology & Internet,2018-08-10 18:47:00-04:00,1,2018-08-13 09:30:00-04:00,2018-08-13 13:30:00+00:00,2018-08-13 08:30:00-04:00,2018-08-13 10:30:00-04:00,2018-08-06 09:30:00-04:00,2018-08-20 09:30:00-04:00,2018-08-13 12:30:00+00:00,2018-08-13 14:30:00+00:00,2018-08-06 13:30:00+00:00,2018-08-20 13:30:00+00:00
88,1038453273286664193,"Apple prices may increase because of the massive Tariffs we may be imposing on China - but there is an easy solution where there would be ZERO tax, and indeed a tax incentive. Make your products in the United States instead of China. Start building new plants now. Exciting! #MAGA",2018-09-08 15:45:28,2018-09-08 15:45:00+00:00,AAPL,Apple Inc.,Technology & Internet,2018-09-08 11:45:00-04:00,1,2018-09-10 09:30:00-04:00,2018-09-10 13:30:00+00:00,2018-09-10 08:30:00-04:00,2018-09-10 10:30:00-04:00,2018-08-31 09:30:00-04:00,2018-09-17 09:30:00-04:00,2018-09-10 12:30:00+00:00,2018-09-10 14:30:00+00:00,2018-08-31 13:30:00+00:00,2018-09-17 13:30:00+00:00
243,1105109329290686464,"At a recent round table meeting of business executives, &amp, long after formally introducing Tim Cook of Apple, I quickly referred to Tim + Apple as Tim/Apple as an easy way to save time &amp, words. The Fake News was disparagingly all over this, &amp, it became yet another bad Trump story!",2019-03-11 14:12:50,2019-03-11 14:12:00+00:00,AAPL,Apple Inc.,Technology & Internet,2019-03-11 10:12:00-04:00,0,2019-03-11 10:12:00-04:00,2019-03-11 14:12:00+00:00,2019-03-11 09:12:00-04:00,2019-03-11 11:12:00-04:00,2019-03-04 09:30:00-05:00,2019-03-18 09:30:00-04:00,2019-03-11 13:12:00+00:00,2019-03-11 15:12:00+00:00,2019-03-04 14:30:00+00:00,2019-03-18 13:30:00+00:00
